YBL103C	YCR097W	-
YBL103C	YMR251WA	-
YCL066W	YIL099W	+
YCL067C	YCL066W	+
YCL067C	YGR044C	-
YCR097W	YCL066W	+
YCR097W	YCR040W	-
YCR097W	YGR044C	-
YDR123C	YBR093C	+
YDR123C	YDR146C	-
YDR123C	YDR278C	+
YDR123C	YDR279W	+
YDR123C	YGL077C	+
YDR123C	YGR238C	-
YDR123C	YMR070W	-
YDR123C	YNL130CA	-
YDR146C	YCR018C	+
YDR146C	YGL140C	+
YDR146C	YGR044C	-
YDR146C	YJL078C	+
YDR146C	YKL185W	+
YDR146C	YLR013W	-
YDR146C	YML125C	+
YDR146C	YMR251WA	-
YDR146C	YNL269W	+
YDR146C	YNL327W	+
YDR146C	YOR140W	+
YDR310C	YGR260W	+
YDR310C	YMR272C	-
YDR310C	YPL075W	-
YDR421W	YCL066W	+
YDR421W	YCL067C	+
YDR421W	YHR135C	-
YDR421W	YMR027W	-
YDR421W	YNL182C	+
YGL035C	YDR146C	+
YGL035C	YEL070W	-
YGL035C	YKL109W	+
YGL035C	YMR280C	+
YGL254W	YCL041C	-
YGL254W	YOR140W	+
YGR044C	YCR018C	-
YGR044C	YML125C	-
YGR044C	YOR140W	-
YJL110C	YBL112C	+
YJL110C	YCL066W	-
YJL110C	YCL067C	+
YJL110C	YCR040W	-
YJL110C	YDR279W	-
YKL109W	YCL066W	-
YKL109W	YCL067C	-
YKL109W	YCR040W	+
YKL109W	YOR257W	-
YKL185W	YDL068W	+
YKL185W	YIL099W	+
YKL185W	YKR042W	-
YLR013W	YBL112C	-
YLR013W	YCL066W	-
YLR013W	YCL067C	+
YLR013W	YCR040W	-
YLR098C	YCL066W	+
YLR098C	YCL067C	-
YLR098C	YCR040W	-
YLR098C	YDR310C	-
YLR131C	YER127W	-
YLR131C	YGR044C	+
YLR131C	YJL078C	-
YLR131C	YKL185W	-
YLR131C	YKR042W	+
YLR131C	YNL327W	+
YLR131C	YOR140W	+
YMR070W	YEL070W	+
YMR070W	YIL099W	+
YMR070W	YKR042W	+
YOL089C	YCR097W	-
YOL089C	YDL068W	-
YOL108C	YBR093C	-
YOL108C	YDR146C	+
YOL108C	YDR278C	+
YOL108C	YDR279W	+
YOL108C	YGL077C	+
YOL108C	YGR238C	-
