YBR297W	YAL062W	+
YBR297W	YCR107W	-
YBR297W	YER189W	-
YBR297W	YIL101C	-
YBR297W	YJR044C	+
YBR297W	YMR135WA	-
YCL067C	YCL066W	+
YCR097W	YCL066W	-
YDR123C	YLR171W	-
YDR123C	YMR070W	+
YGL162W	YER045C	-
YGL162W	YER145C	-
YGL162W	YGL001C	+
YGL162W	YGR249W	+
YGL162W	YJR150C	-
YGL162W	YMR037C	-
YGL162W	YMR070W	-
YGL162W	YMR136W	-
YGL162W	YPL177C	+
YGL254W	YJR044C	-
YGR249W	YCR107W	+
YGR249W	YGR073C	+
YIL101C	YCR107W	+
YIL101C	YDR309C	-
YIL101C	YDR544C	-
YIL101C	YER045C	+
YIL101C	YER189W	+
YIL101C	YGR249W	+
YIL101C	YLR042C	-
YIL101C	YMR135WA	+
YJL110C	YCL066W	+
YJL110C	YCL067C	-
YJL110C	YCR096C	-
YJL110C	YCR107W	+
YJL110C	YDR544C	+
YJL110C	YER189W	+
YJL110C	YGL001C	+
YJL110C	YLR023C	+
YKL043W	YAL062W	-
YKL043W	YAR050W	-
YKL043W	YDR309C	+
YKL043W	YER045C	-
YKL043W	YER145C	+
YKL043W	YGR249W	-
YKL043W	YIL101C	-
YKL043W	YMR019W	+
YKL043W	YMR136W	+
YKL043W	YPL177C	+
YML113W	YCR096C	+
YML113W	YDR520C	-
YML113W	YDR544C	+
YML113W	YER189W	+
YML113W	YGL001C	-
YMR019W	YBR292C	-
YMR021C	YBR297W	-
YMR021C	YER145C	+
YMR021C	YGR136W	-
YMR021C	YJR050W	+
YMR021C	YPL177C	-
YMR021C	YPR123C	+
YMR037C	YAL062W	-
YMR037C	YBR013C	+
YMR037C	YCR096C	-
YMR037C	YGL231C	+
YMR037C	YGR249W	+
YMR037C	YLR042C	-
YMR037C	YMR019W	-
YMR037C	YMR136W	-
YMR037C	YMR169C	+
YMR037C	YMR170C	+
YMR037C	YNL001W	-
YMR042W	YPL177C	+
YMR070W	YAR050W	-
YMR070W	YBR013C	+
YNL167C	YMR070W	+
YOL067C	YCR096C	+
YOL067C	YGL254W	+
YOL067C	YMR019W	-
YOL067C	YNL001W	+
YOR113W	YIL101C	-
YOR113W	YLR023C	-
YPL177C	YIL101C	-
YPR199C	YAL062W	+
YPR199C	YCR096C	+
YPR199C	YCR107W	+
YPR199C	YJR044C	+
YPR199C	YMR135WA	-
