YCL066W	YIL099W	-
YCR018C	YFR017C	+
YCR018C	YPL251W	-
YCR097W	YCL066W	+
YCR097W	YCR040W	-
YCR097W	YGR044C	-
YDL170W	YCR040W	-
YDL170W	YDR129C	+
YDL170W	YDR210WD	+
YDL170W	YGR019W	-
YDL170W	YLR463C	-
YDL170W	YPL251W	-
YDR123C	YDR146C	-
YDR123C	YDR275W	-
YDR123C	YMR070W	+
YDR146C	YCR018C	-
YDR146C	YFL022C	+
YDR146C	YFR017C	-
YDR146C	YGR044C	-
YDR146C	YLR013W	+
YDR146C	YOR140W	-
YER045C	YPL078C	+
YGL035C	YDR146C	+
YGL035C	YKL109W	+
YGL035C	YOL157C	+
YGL162W	YER045C	-
YGL162W	YHL027W	+
YGL162W	YIL099W	-
YGL162W	YKL109W	+
YGL162W	YMR070W	-
YGL162W	YMR136W	+
YGL162W	YPL026C	-
YGR044C	YCR018C	-
YGR044C	YFR017C	+
YGR044C	YOR140W	-
YHL027W	YDR129C	-
YHL027W	YER045C	+
YHL027W	YIL099W	-
YHL027W	YMR136W	-
YHL027W	YOL157C	+
YHR006W	YCR040W	+
YJL056C	YCL066W	+
YJL056C	YCR040W	+
YJL056C	YHR145C	-
YJL056C	YNL253W	-
YJL056C	YNL254C	+
YJL110C	YCL066W	+
YJL110C	YCR040W	-
YJL110C	YKR034W	-
YJL110C	YLR463C	-
YKL109W	YCL066W	-
YKL109W	YCR040W	-
YKL109W	YEL001C	+
YKL109W	YHR111W	+
YKL109W	YHR145C	-
YKL109W	YJL166W	-
YKL109W	YKL141W	-
YKL109W	YLR463C	-
YKR034W	YCR040W	-
YKR034W	YGR019W	+
YKR034W	YGR073C	-
YKR034W	YJL110C	-
YKR034W	YMR086CA	-
YKR034W	YOL042W	-
YLR013W	YCL066W	-
YLR013W	YCR040W	-
YLR013W	YLR463C	-
YLR098C	YCL066W	+
YLR098C	YCR040W	-
YLR131C	YER177W	-
YLR131C	YFL022C	+
YLR131C	YFR017C	+
YLR131C	YGR044C	+
YLR131C	YOR140W	-
YLR131C	YPL026C	+
YMR070W	YIL099W	+
YOR032C	YHR006W	+
YOR344C	YEL001C	+
YOR344C	YER177W	-
YOR344C	YHR006W	-
YOR344C	YIR006C	+
YPR199C	YCR040W	-
YPR199C	YDR210WD	+
YPR199C	YMR086CA	+
