YBR182C	YBL037W	-
YBR182C	YBL111C	-
YBR182C	YBR182CA	+
YBR182C	YER188CA	-
YBR182C	YER189W	+
YBR182C	YHR081W	+
YBR182C	YHR193C	+
YBR182C	YIL002WA	+
YBR182C	YIL174W	-
YBR182C	YKL185W	-
YBR182C	YKR105C	-
YBR182C	YML132W	+
YBR182C	YMR014W	-
YBR182C	YOR140W	-
YCL067C	YCL066W	-
YCL067C	YGR044C	-
YCR096C	YCR040W	+
YCR097W	YCL066W	+
YCR097W	YCR040W	+
YCR097W	YGR044C	-
YDL170W	YBL111C	+
YDL170W	YBR006W	-
YDL170W	YCR040W	+
YDL170W	YER189W	-
YDL170W	YHR156C	+
YDR421W	YCL066W	+
YDR421W	YCL067C	-
YDR421W	YDR379CA	+
YDR421W	YIL002WA	-
YFL021W	YCR096C	-
YFL021W	YHR156C	+
YFL021W	YJL110C	+
YFL021W	YLR023C	-
YGL035C	YDR441C	+
YGL035C	YPL248C	+
YGL254W	YCL041C	-
YGL254W	YIL002WA	-
YGL254W	YOR140W	+
YGR044C	YCR018C	+
YGR044C	YOR140W	+
YHR006W	YBR040W	+
YHR006W	YCR040W	-
YJL056C	YCL066W	+
YJL056C	YCL067C	-
YJL056C	YCR040W	-
YJL056C	YER188CA	+
YJL056C	YER189W	+
YJL056C	YHR193C	+
YJL056C	YNL253W	+
YJL110C	YBL111C	-
YJL110C	YCL066W	-
YJL110C	YCL067C	+
YJL110C	YCR040W	-
YJL110C	YCR096C	+
YJL110C	YER189W	-
YJL110C	YKR034W	-
YJL110C	YKR105C	+
YJL110C	YLR023C	+
YKL185W	YDR441C	+
YKR034W	YAL025C	+
YKR034W	YBL111C	+
YKR034W	YBR006W	-
YKR034W	YCR040W	-
YKR034W	YER189W	+
YKR034W	YFL021W	+
YKR034W	YHR156C	-
YKR034W	YJL110C	+
YKR034W	YMR086CA	-
YLR013W	YBL111C	+
YLR013W	YCL066W	+
YLR013W	YCL067C	-
YLR013W	YCR040W	+
YLR013W	YER188CA	-
YLR013W	YER189W	-
YLR013W	YIL174W	+
YLR013W	YJR161C	+
YLR013W	YML132W	+
YOL089C	YCR096C	+
YOL089C	YCR097W	-
YOL089C	YCR104W	+
YPL089C	YHR193C	+
YPL089C	YMR014W	-
YPL248C	MEL1	+
YPL248C	YBL111C	+
YPL248C	YCL066W	-
YPL248C	YCL067C	+
YPL248C	YER188CA	-
YPL248C	YER189W	+
YPL248C	YGR103W	+
YPL248C	YMR086CA	+
YPL248C	YOR140W	-
YPR199C	YBR040W	-
YPR199C	YCR040W	+
YPR199C	YCR096C	-
YPR199C	YMR086CA	+
